image_id,file_name,box_id,true_height_cm,pred_height_cm,abs_error_cm,pred_std_cm,background_fraction,bbox_aspect_ratio,primary_error_category
img-00047,17744321793357439543515068175302-a13e2949.jpg,box-003,90.0,109.20383739471436,19.203837394714355,2.3238634748404237,0.4994378294298407,0.6208476517754868,bbox ambiguity
img-00054,17744322151695995958713403964223-93170ab9.jpg,box-001,70.0,87.24016571044922,17.24016571044922,1.7114949672226414,0.6131730559939055,0.5032377428307123,early-stage sparse structure
img-00054,17744322151695995958713403964223-93170ab9.jpg,box-002,97.0,123.97092628479004,26.97092628479004,2.392613908036509,0.6343759475211643,0.29525120440467995,residual cross-domain shift
img-00054,17744322151695995958713403964223-93170ab9.jpg,box-003,73.0,66.5333309173584,6.466669082641602,0.10806121112387314,0.6796691721746907,0.4608177172061329,early-stage sparse structure
img-00054,17744322151695995958713403964223-93170ab9.jpg,box-004,134.0,132.56378746032715,1.4362125396728516,2.9569993745213963,0.6364776659398106,0.2589928057553957,unstable TTA prediction
img-00054,17744322151695995958713403964223-93170ab9.jpg,box-005,43.0,86.83111190795898,43.831111907958984,1.1822235756789699,0.6393690488815191,0.5900681596884129,early-stage sparse structure
img-00055,17744322198111524063972955817959-f6c0d6b3.jpg,box-001,178.0,140.18945503234863,37.81054496765137,1.81765824655807,0.622457549649199,0.2695035460992908,residual cross-domain shift
img-00055,17744322198111524063972955817959-f6c0d6b3.jpg,box-002,88.0,88.17501831054688,0.175018310546875,2.514540880200972,0.6584534565705982,0.39915966386554624,residual cross-domain shift
img-00056,17744322244413093210727838268043-bdc9c3a0.jpg,box-001,103.0,131.93344497680664,28.93344497680664,2.1931057076005454,0.6180439088808187,0.47794871794871796,residual cross-domain shift
img-00056,17744322244413093210727838268043-bdc9c3a0.jpg,box-002,88.0,80.49177360534668,7.50822639465332,2.1809853148714233,0.6082805590345803,0.35797399041752226,residual cross-domain shift
img-00057,17744322286635745009728053765240-1106569a.jpg,box-001,103.0,98.3558120727539,4.644187927246094,1.312174849671117,0.6116522504901198,0.4033656297807241,residual cross-domain shift
img-00057,17744322286635745009728053765240-1106569a.jpg,box-002,72.0,108.6342134475708,36.6342134475708,1.607002749175587,0.6564807631081946,0.25853350189633373,early-stage sparse structure
img-00057,17744322286635745009728053765240-1106569a.jpg,box-003,73.0,68.4096097946167,4.590390205383301,0.3687233447932336,0.616777700248095,0.48848684210526316,early-stage sparse structure
img-00057,17744322286635745009728053765240-1106569a.jpg,box-004,88.0,143.41959381103516,55.419593811035156,4.0015571811674935,0.6242803798174523,0.23300406740267288,unstable TTA prediction
img-00059,17744322421967087302057130033382-ac0e1077.jpg,box-001,159.0,169.38661575317383,10.386615753173828,3.396225746929806,0.6078582662726484,0.17776664997496244,unstable TTA prediction
img-00059,17744322421967087302057130033382-ac0e1077.jpg,box-002,103.0,81.62592124938965,21.37407875061035,1.6994482868067018,0.6019120630531967,0.4783748361730013,residual cross-domain shift
img-00060,17744322464787401147269120726982-84dbce12.jpg,box-001,134.0,190.49928665161133,56.49928665161133,2.799834129116141,0.6027379460972965,0.22145187601957586,unstable TTA prediction
img-00060,17744322464787401147269120726982-84dbce12.jpg,box-002,65.0,89.67250156402588,24.67250156402588,1.515613098329756,0.6657953341034405,0.5109204368174727,early-stage sparse structure
img-00060,17744322464787401147269120726982-84dbce12.jpg,box-003,78.0,74.51563453674316,3.484365463256836,0.881352190853626,0.6201766876296058,0.525626204238921,early-stage sparse structure
img-00063,17744322671942308763368065297179-80109626.jpg,box-001,85.0,124.11328411102295,39.11328411102295,2.7401551510478166,0.5707635210607862,0.45454545454545453,unstable TTA prediction
img-00063,17744322671942308763368065297179-80109626.jpg,box-002,78.0,67.69127559661865,10.308724403381348,0.1449037889565408,0.6223417950869699,0.38495575221238937,early-stage sparse structure
img-00063,17744322671942308763368065297179-80109626.jpg,box-003,159.0,163.924654006958,4.924654006958008,1.2806279221585357,0.6090705526378637,0.12221002561287962,bbox ambiguity
img-00063,17744322671942308763368065297179-80109626.jpg,box-004,135.0,155.28736305236816,20.287363052368164,1.7330536449385667,0.5933053093280929,0.17159241288045876,bbox ambiguity
img-00063,17744322671942308763368065297179-80109626.jpg,box-005,122.0,140.9526138305664,18.952613830566406,1.2612056300061518,0.6101065909025905,0.21424962102071754,residual cross-domain shift
img-00063,17744322671942308763368065297179-80109626.jpg,box-006,178.0,149.22146797180176,28.778532028198242,2.449648368474044,0.6153960203685147,0.23413566739606126,residual cross-domain shift
img-00064,17744323136636410293405002256876-62c27dec.jpg,box-001,70.0,81.57611751556396,11.576117515563965,0.6551033430016442,0.6501743562984283,0.4274099883855981,early-stage sparse structure
img-00064,17744323136636410293405002256876-62c27dec.jpg,box-002,138.0,87.0161828994751,50.9838171005249,1.4537312660607,0.6070825697661928,0.344218593802066,residual cross-domain shift
img-00068,17744323375852104299749593532205-59c3805d.jpg,box-001,54.0,99.27140235900879,45.27140235900879,0.64125756240959,0.633004520587253,0.6474694589877836,early-stage sparse structure
img-00068,17744323375852104299749593532205-59c3805d.jpg,box-002,70.0,79.31647968292236,9.316479682922363,2.1452347197661505,0.6054897324526459,0.4563356164383562,early-stage sparse structure
img-00068,17744323375852104299749593532205-59c3805d.jpg,box-003,68.0,86.63642024993896,18.636420249938965,3.469891173154042,0.5779012298050916,0.4444444444444444,early-stage sparse structure
img-00070,17744323540247076606634106630807-51ce78b3.jpg,box-001,70.0,104.42610740661621,34.42610740661621,2.735249378521827,0.6228142926256134,0.39636752136752135,early-stage sparse structure
img-00070,17744323540247076606634106630807-51ce78b3.jpg,box-002,120.0,104.96985912322998,15.03014087677002,1.4330022206418969,0.6014925561868794,0.36930754834684965,residual cross-domain shift
img-00070,17744323540247076606634106630807-51ce78b3.jpg,box-003,68.0,108.66071319580078,40.66071319580078,0.6555890664797176,0.5951317175974711,0.7019230769230769,early-stage sparse structure
img-00071,17744323578303571483999047935077-a88f78e2.jpg,box-001,70.0,109.1779670715332,39.1779670715332,1.0537730437924278,0.6797588600657654,0.6700280112044817,early-stage sparse structure
img-00071,17744323578303571483999047935077-a88f78e2.jpg,box-002,120.0,101.17670917510986,18.823290824890137,1.8689030580586343,0.6092690041354303,0.28365384615384615,residual cross-domain shift
img-00071,17744323578303571483999047935077-a88f78e2.jpg,box-003,132.0,125.12478446960449,6.875215530395508,2.3061790673551594,0.6034564080678662,0.44822441062369445,residual cross-domain shift
img-00072,17744323624581056279345005276368-21a8d29f.jpg,box-001,73.0,217.1196403503418,144.1196403503418,2.0236496108208053,0.6132867644163982,0.21167484997272232,early-stage sparse structure
img-00072,17744323624581056279345005276368-21a8d29f.jpg,box-002,98.0,204.46419525146484,106.46419525146484,3.140714157441625,0.6834597580425565,0.19780701754385965,unstable TTA prediction
img-00072,17744323624581056279345005276368-21a8d29f.jpg,box-003,97.0,171.41479110717773,74.41479110717773,2.5841966920643555,0.6220439444512782,0.21486038807382868,residual cross-domain shift
img-00073,17744323695882799430184163308300-9f5b8ffd.jpg,box-001,142.0,187.64466667175293,45.64466667175293,2.7094615934961843,0.6187521222410866,0.13582342954159593,bbox ambiguity
img-00073,17744323695882799430184163308300-9f5b8ffd.jpg,box-002,122.0,144.61594009399414,22.61594009399414,1.2304241855615417,0.6068009710496758,0.1753686727779992,bbox ambiguity
img-00073,17744323695882799430184163308300-9f5b8ffd.jpg,box-003,135.0,154.06068801879883,19.060688018798828,3.7541939827581645,0.6121776986034799,0.30952380952380953,unstable TTA prediction
img-00074,17744323780963222880256680053099-84d8cd17.jpg,box-001,97.0,69.74964809417725,27.250351905822754,0.2207438566129381,0.6040083209738621,0.5575129533678757,residual cross-domain shift
img-00074,17744323780963222880256680053099-84d8cd17.jpg,box-002,166.0,170.25402641296387,4.254026412963867,2.9618890460167737,0.6427755294072464,0.17889908256880735,unstable TTA prediction
img-00074,17744323780963222880256680053099-84d8cd17.jpg,box-003,178.0,235.5013771057129,57.50137710571289,0.9041974060726995,0.6207805601890098,0.14902943018159048,bbox ambiguity
img-00074,17744323780963222880256680053099-84d8cd17.jpg,box-004,100.0,179.22374725341797,79.22374725341797,3.2036444807001465,0.6014659900558716,0.22604951560818085,unstable TTA prediction
img-00075,17744323850524704765040002271893-8726e634.jpg,box-001,170.0,166.65020751953125,3.34979248046875,1.26312282144747,0.6130157932312181,0.20123599845500192,residual cross-domain shift
img-00075,17744323850524704765040002271893-8726e634.jpg,box-002,178.0,232.9080352783203,54.90803527832031,1.3110561308124216,0.6010518186415889,0.16476510067114095,bbox ambiguity
img-00075,17744323850524704765040002271893-8726e634.jpg,box-003,142.0,125.55874252319336,16.44125747680664,2.95381432132319,0.6080135783146572,0.22404635441815549,unstable TTA prediction
img-00075,17744323850524704765040002271893-8726e634.jpg,box-004,132.0,129.42224884033203,2.5777511596679688,3.4466077770218613,0.6878894367908408,0.23526593195975085,unstable TTA prediction
